song_name,song_id,artist_name,artist_id,genre,album_name,date_released,date_added,popularity
Schism,55mJleti2WfWEFNFcBduhc,TOOL,2yEwvVSSSUkcLeSTNyHKh8,"progressive metal, alternative metal, progressive rock, metal",Lateralus,2001-05-15,2024-09-24T10:20:25Z,67
Forty Six & 2,6AioOohg4bQZFA4jIYQQ2r,TOOL,2yEwvVSSSUkcLeSTNyHKh8,"progressive metal, alternative metal, progressive rock, metal",Ænima,1996-09-17,2024-09-24T10:20:27Z,66
The Pot,1lATXTBJDHwawvT1UfxWu3,TOOL,2yEwvVSSSUkcLeSTNyHKh8,"progressive metal, alternative metal, progressive rock, metal","10,000 Days",2006-04-28,2024-09-24T10:20:36Z,66
Sober,6DyywdbmTzlmXBzG9ym7Rt,TOOL,2yEwvVSSSUkcLeSTNyHKh8,"progressive metal, alternative metal, progressive rock, metal",Undertow,1993-04-06,2024-09-24T10:20:38Z,66
Stinkfist,0pwObEOHolQZSldJ2q1wpy,TOOL,2yEwvVSSSUkcLeSTNyHKh8,"progressive metal, alternative metal, progressive rock, metal",Ænima,1996-09-17,2024-09-24T10:20:42Z,64
Vicarious,65ShmiE5aLBdcIGr7tHX35,TOOL,2yEwvVSSSUkcLeSTNyHKh8,"progressive metal, alternative metal, progressive rock, metal","10,000 Days",2006-04-28,2024-09-24T10:20:45Z,61
Pneuma,03sEzk1VyrUZSgyhoQR0LZ,TOOL,2yEwvVSSSUkcLeSTNyHKh8,"progressive metal, alternative metal, progressive rock, metal",Fear Inoculum,2019-08-30,2024-09-24T10:20:46Z,62
Blackwater Park,7IDQX9EUgMNQTgYcZSpO1d,Opeth,0ybFZ2Ab08V8hueghSXm6E,"progressive metal, progressive rock, metal, death metal, melodic death metal",Blackwater Park,2001-02-27,2024-09-24T10:22:14Z,40
Ghost of Perdition,0ppdt8zRZOHIKh4ZDB0Zp9,Opeth,0ybFZ2Ab08V8hueghSXm6E,"progressive metal, progressive rock, metal, death metal, melodic death metal",Ghost Reveries,2005-08-30,2024-09-24T10:22:20Z,47
Pull Me Under,5CPXR6lDTvngxtmMZxnWmC,Dream Theater,2aaLAng2L2aWD2FClzwiep,"progressive metal, progressive rock, metal",Images and Words,1992-06-30,2024-09-24T10:23:08Z,58
Untethered Angel,4ofi9goaZUnwcWvdSPYcYX,Dream Theater,2aaLAng2L2aWD2FClzwiep,"progressive metal, progressive rock, metal",Distance Over Time (Bonus track version),2019-02-22,2024-09-24T10:24:01Z,36
Fall into the Light,02YXYTdPKzfYhAhMjiOEK9,Dream Theater,2aaLAng2L2aWD2FClzwiep,"progressive metal, progressive rock, metal",Distance Over Time (Bonus track version),2019-02-22,2024-09-24T10:24:06Z,33
Paralyzed,7DCLX6EC3qcwW9Cz38DJ8O,Dream Theater,2aaLAng2L2aWD2FClzwiep,"progressive metal, progressive rock, metal",Distance Over Time (Bonus track version),2019-02-22,2024-09-24T10:24:12Z,36
Pale Blue Dot,7u5KojInfeEKLKWnInfYZA,Dream Theater,2aaLAng2L2aWD2FClzwiep,"progressive metal, progressive rock, metal",Distance Over Time (Bonus track version),2019-02-22,2024-09-24T10:24:14Z,31
Barstool Warrior,3dQHtmVxm44ctQOIovPP8w,Dream Theater,2aaLAng2L2aWD2FClzwiep,"progressive metal, progressive rock, metal",Distance Over Time (Bonus track version),2019-02-22,2024-09-24T10:24:17Z,40
Out of Reach,0Xxjyrl6Z8BtyY7EBBwozI,Dream Theater,2aaLAng2L2aWD2FClzwiep,"progressive metal, progressive rock, metal",Distance Over Time (Bonus track version),2019-02-22,2024-09-24T10:24:20Z,30
S2N,4KRp5U0iMDfaAgvGWKfwQn,Dream Theater,2aaLAng2L2aWD2FClzwiep,"progressive metal, progressive rock, metal",Distance Over Time (Bonus track version),2019-02-22,2024-09-24T10:24:27Z,29
The Ministry of Lost Souls,4jYEyc4XjI0nrY1bCLf8BO,Dream Theater,2aaLAng2L2aWD2FClzwiep,"progressive metal, progressive rock, metal",Systematic Chaos,2007-06-05,2024-09-24T10:24:42Z,36
Breaking All Illusions,4sJOuZGBuoNhtocxAO9IkC,Dream Theater,2aaLAng2L2aWD2FClzwiep,"progressive metal, progressive rock, metal",A Dramatic Turn of Events,2011-08-25,2024-09-24T10:24:46Z,36
Stranded,60fUDmIWuKhngaeBIVhqIV,Gojira,0GDGKpJFhVpcjIGF8N6Ewt,"metal, progressive metal, groove metal, death metal, djent",Magma,2016-06-17,2024-09-24T11:04:15Z,64
Silvera,5uunXHE4kIW6uS4HWAXaOQ,Gojira,0GDGKpJFhVpcjIGF8N6Ewt,"metal, progressive metal, groove metal, death metal, djent",Magma,2016-06-17,2024-09-24T11:04:18Z,59
Flying Whales,5OjCsHeByDYEGxMrb1z8KQ,Gojira,0GDGKpJFhVpcjIGF8N6Ewt,"metal, progressive metal, groove metal, death metal, djent",From Mars to Sirius,2005-09-07,2024-09-24T11:04:21Z,58
Born For One Thing,61GkJ0y15jxDyBrdcb6PqR,Gojira,0GDGKpJFhVpcjIGF8N6Ewt,"metal, progressive metal, groove metal, death metal, djent",Fortitude,2021-04-30,2024-09-24T11:04:22Z,49
Bleed,4E6wpXABj8XosZEPXZz2OK,Meshuggah,3ggwAqZD3lyT2sbovlmfQY,"djent, progressive metal, groove metal, metal, death metal",ObZen,2008-03-07,2024-09-24T11:04:34Z,36
Amazonia,1GWtUkDQk7XC35r7kTPfqx,Gojira,0GDGKpJFhVpcjIGF8N6Ewt,"metal, progressive metal, groove metal, death metal, djent",Fortitude,2021-04-30,2024-09-24T11:04:39Z,54
