song_name,song_id,artist_name,artist_id,genre,album_name,date_released,date_added,popularity
"Zara Sa (From ""Jannat"")",2UBINzEIsEHU0bAohtPYfb,Pritam,1wRPtKGflJrBx9BmLsSwlU,"bollywood, hindi pop, desi",I Love You...Forever,2012-01-30,2025-04-27T18:57:09Z,7
"Dil Ibaadat (From ""Tum Mile"")",76BZDKvEJsGaivUiDRSXn1,Pritam,1wRPtKGflJrBx9BmLsSwlU,"bollywood, hindi pop, desi",#Hashmania (Emraan Hashmi's Biggest Hits!),2015-05-07,2025-04-27T18:57:09Z,3
Phir Se Ud Chala,1kcV2LJxt5v0s2cEGtEJ5i,Mohit Chauhan,5GnnSrwNCGyfAU4zuIytiS,"bollywood, hindi pop, sufi, desi",Rockstar,2011-10-01,2025-04-27T18:57:09Z,63
Jo Bhi Main,2MmAYegcUty1DmG0Gw7AMh,Mohit Chauhan,5GnnSrwNCGyfAU4zuIytiS,"bollywood, hindi pop, sufi, desi",Rockstar,2011-10-01,2025-04-27T18:57:09Z,56
Kun Faya Kun,7F8RNvTQlvbeBLeenycvN6,A.R. Rahman,1mYsTxnqsietFxj1OgoGbG,"tamil pop, kollywood, sufi, bollywood, hindi pop, tamil dance",Rockstar,2011-10-01,2025-04-27T18:57:09Z,70
Saadda Haq,7k3jpyYPnVnbO0p7iejWxL,Mohit Chauhan,5GnnSrwNCGyfAU4zuIytiS,"bollywood, hindi pop, sufi, desi",Rockstar,2011-10-01,2025-04-27T18:57:09Z,57
Hale Dil,6GQK4G5o60E8YA18DGpAzv,Harshit Saxena,4auibajZua9Ld8sPMOmPYc,bollywood,Murder 2,2011-05-30,2025-04-27T18:57:09Z,72
Phir Mohabbat,2b2HutIDmoeBnnKRWDLAtV,Mohammed Irfan,6QtJ6BVdj43aDpgjnVp2tY,"hindi pop, bollywood",Murder 2,2011-05-30,2025-04-27T18:57:09Z,68
Aa Zara,42epVqODeb3JYwG8XwahPi,Sunidhi Chauhan,3eDT9fwXKuHWFvgZaaYC5v,"bollywood, desi, hindi pop",Murder 2,2011-05-30,2025-04-27T18:57:09Z,59
Aye Khuda,1SdMHj6tJp2YZ5INflJR1T,Kshitij Tarey,1W8O3VMkoLKHlnPtojVU8l,"sufi, marathi pop, bollywood, qawwali",Murder 2,2011-05-30,2025-04-27T18:57:09Z,58
Nadaan Parinde,6Z394Nd4gW6Ts9hmu3NUjx,A.R. Rahman,1mYsTxnqsietFxj1OgoGbG,"tamil pop, kollywood, sufi, bollywood, hindi pop, tamil dance",Rockstar,2011-10-01,2025-04-27T18:57:09Z,64
Deewana Kar Raha Hai,2tva3nN2kQhBjHMC7Zlty6,Javed Ali,4W91bbPB2CTSsHwt7eqNl7,"sufi, bollywood, hindi pop, qawwali, desi, desi pop",Raaz 3,2012-08-03,2025-04-27T18:57:09Z,69
Khuda Jaane,0gPgdRfB4jdGrlyXS0Vx78,Vishal-Shekhar,6Mv8GjQa7LKUGCAqa9qqdb,"bollywood, desi, hindi pop",Bachna Ae Haseeno,2008-07-05,2025-04-27T18:57:09Z,74
Haan Tu Hain,4vgCpNUUcpEIBifidhQOnR,Pritam,1wRPtKGflJrBx9BmLsSwlU,"bollywood, hindi pop, desi",Jannat (Original Motion Picture Soundtrack),2008-03-07,2025-04-27T18:57:09Z,70
"Tu Hi Meri Shab Hai - From ""Gangster""",1ufeADg0jivKpOFiAv3PYg,Pritam,1wRPtKGflJrBx9BmLsSwlU,"bollywood, hindi pop, desi",Gangster (Original Motion Picture Soundtrack),2006-09-08,2025-04-27T18:57:09Z,70
Such Keh Raha Hai,5sRH0l4iaWoyWbgqybttrY,KK,5HpoEZlyHKEQfUkXESPJ98,Unknown,Rehnaa Hai Terre Dil Mein (Original Motion Picture Soundtrack),2001-12-01,2025-04-27T18:57:09Z,46
Pee Loon,52itZ0w0CydihB2JCZEIft,Pritam,1wRPtKGflJrBx9BmLsSwlU,"bollywood, hindi pop, desi",Once Upon A Time In Mumbaai,2010-06-29,2025-04-27T18:57:09Z,74
"Woh Lamhe Woh Baatein - From ""Zeher""",21kImg7AxLbl7rrciuAwoB,Atif Aslam,2oSONSC9zQ4UonDKnLqksx,"bollywood, hindi pop, desi, sufi, qawwali",Zeher (Original Motion Picture Soundtrack),2005-03-25,2025-04-27T18:57:09Z,69
Tu Hi Haqeeqat,3OLFqbd9ZeVjaUKTiaLsD6,Pritam,1wRPtKGflJrBx9BmLsSwlU,"bollywood, hindi pop, desi",Tum Mile (Original Motion Picture Soundtrack),2009-09-08,2025-04-27T18:57:09Z,73
Tum Ho,7uNnlVit5qDvfOje0pqICF,Mohit Chauhan,5GnnSrwNCGyfAU4zuIytiS,"bollywood, hindi pop, sufi, desi",Rockstar,2011-10-01,2025-04-27T18:57:09Z,65
Tennu Le,0dQiyqHUpnMPmHtk535VAY,omer inayat,4eCyyxnvpCKgZs7RCyjDr8,Unknown,Jai Veeru,2009-02-05,2025-04-27T18:57:09Z,60
Chand Sifarish,5EYZZvmNAH5VZCwuzYJqoA,Jatin-Lalit,4YgUVg4p7xtMOrOS4GjiJZ,"bollywood, hindi pop, desi",Fanaa,2006-04-12,2025-04-27T18:57:09Z,72
"Maula Mere Maula (From ""Anwar"")",1lnoUqwGEF18ucduyhgYWr,Roop Kumar Rathod,03SZmfKAgYRQKUwy0EoJUa,"bollywood, sufi, hindi pop, desi",Relaxing Old Classics,2021-07-12,2025-04-27T18:57:09Z,21
Teri Deewani,2iNqdCchlUZEgjJbQyZf8T,Kailash Kher,4oVMLzAqW6qhRpZWt8fNw4,"sufi, bhajan, bollywood, qawwali, hindi pop",Kailasa,2006-02-24,2025-04-27T18:57:09Z,75
Banjaara,4eFnk661RcdOuH9ajiTO3j,Mohammed Irfan,6QtJ6BVdj43aDpgjnVp2tY,"hindi pop, bollywood",Ek Villain,2014-05-28,2025-04-27T18:57:09Z,68
Jo Tere Sang,0kYBzFJ5a2Jozi6cI4y9Bp,Jeet Gannguli,2kkQthS9OLpK4UqNWYqoVl,"bangla pop, hindi pop, bollywood",Blood Money (Original Motion Picture Soundtrack),2012-02-14,2025-04-27T18:57:09Z,75
"Ya Ali - From ""Gangster""",7C3IQI7f7zN1xasNYcZnYY,Pritam,1wRPtKGflJrBx9BmLsSwlU,"bollywood, hindi pop, desi",Gangster (Original Motion Picture Soundtrack),2006-09-08,2025-06-08T11:56:44Z,62
