song_name,song_id,artist_name,artist_id,genre,album_name,date_released,date_added,popularity
Koi Fariyaad,2AeMA6k7ocfbYDZqq8NdV7,Jagjit Singh,2ijWbN5KykTYiBoVmhzCTU,"ghazal, bhajan, qawwali, sufi, devotional",Ghazal Maestro - Jagjit Singh,2017-12-05,2024-02-13T09:48:45Z,55
Duniya Kisie Ke Pyar Mein,4NF9yxXFiuSPhOHMv1vwOk,Mehdi Hassan,73Qu5twIpvKmLU0rPaEJi4,"ghazal, qawwali, sufi","The Definitive Collection, Vol. 1",2022-11-25,2024-02-13T09:48:58Z,13
Tum Itna Jo Muskura Rahe Ho,0Uju0OCAsVwlNSY0mQlGTb,Jagjit Singh,2ijWbN5KykTYiBoVmhzCTU,"ghazal, bhajan, qawwali, sufi, devotional",Kaifi Azmi Ki Kalam Se,2022-05-02,2024-02-13T09:49:18Z,43
Chupke Chupke Raat Din,0jdAjo7aDmuuxAv7BAGJon,Ghulam Ali,62mCohf6aiF3nryWghwCxM,"ghazal, qawwali, sufi",The Legend B R Chopra,2023-03-27,2024-02-13T09:49:26Z,36
"Hothon Se Chhu Lo Tum - From ""Prem Geet""",4mBmsPcPa1Eu4LDTHq55Ab,Jagjit Singh,2ijWbN5KykTYiBoVmhzCTU,"ghazal, bhajan, qawwali, sufi, devotional",Dard-E-Jigar,2003-01-01,2024-02-13T09:49:41Z,64
Hoshwalon Ko Khabar Kya,5NbR7c5zrOZN3Dje3JVJEN,Jagjit Singh,2ijWbN5KykTYiBoVmhzCTU,"ghazal, bhajan, qawwali, sufi, devotional",Sarfarosh (Original Motion Picture Soundtrack),1999-04-30,2024-02-13T09:49:47Z,63
Mujhe Tum Nazar Se Gira To Rahe Ho,3zszTKvI0ru0LzQ3lu99yO,Mehdi Hassan,73Qu5twIpvKmLU0rPaEJi4,"ghazal, qawwali, sufi","The Definitive Collection, Vol. 1",2022-11-25,2024-02-13T10:06:16Z,43
Ranjish Hi Sahi,1Ot6UNRGj2aYS3xtqw1YtA,Mehdi Hassan,73Qu5twIpvKmLU0rPaEJi4,"ghazal, qawwali, sufi",25 Everlasting Ghazals By Mehdi Hassan,2012-01-13,2024-02-15T03:21:44Z,39
Rafta Rafta Woh Meri Hasti Ka Saman Ho Gaye,6GdajL7Wy76jkC7QziZ1At,Muhammad Ali,3O5X759SsQ6VzpPVopUZSX,"ghazal, qawwali, sufi, free jazz",Khiraj,2022-05-30,2024-07-01T17:52:43Z,50
Kali Kali Zulfon Ke Phande Nah Dalo,0FTfaxNtqgYbqPPcrWQ1IS,Nusrat Fateh Ali Khan,5HcunTidTUrOaf8V0iJcvl,"qawwali, ghazal, sufi",Shahen-Shah (Real World Gold),1989,2024-07-18T09:25:20Z,59
Baat Niklegi To Phir Door Talak - Nazm,3uJo5LC11JrO3Q8bHVFc9Z,Jagjit Singh,2ijWbN5KykTYiBoVmhzCTU,"ghazal, bhajan, qawwali, sufi, devotional",Duniya Jise Kahte Hain,2012-02-26,2024-07-18T15:47:06Z,26
